Nom,Catégorie,URL,INCI,Nom botanique,Texte brut,Qualité,Date
Huile infusée de Bleuet,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-infusee-de-bleuet,Helianthus annuus (sunflower) seed oil (and) Centaurea cyanus flower extract (and) Tocopherol,,"Macérât de fleurs de bleuet cosmétique | Pure Arôme Laboratoire  Accueil Produits Huile infusée de Bleuet Huile infusée de Bleuet Sku: HFBLEU En stock Huile infusée de Bleuet Sku: HFBLEU En stock 24,95 $ CAD Produit non disponible à l'achat en ligne Partager Macérât de fleurs de bleuet – Pure Arôme Laboratoire Le macérât huileux de fleurs de bleuet ( Centaurea cyanus ) est obtenu par macération douce de fleurs séchées de bleuet dans une huile de tournesol de haute qualité, enrichie en vitamine E naturelle. Traditionnellement utilisé dans les soins destinés aux peaux délicates, ce macérât apporte douceur, confort et souplesse à la peau. Sa texture légère et sa bonne tolérance cutanée en font un excellent support pour les formulations visage et les soins ciblés. Bienfaits et utilisations Adoucit et assouplit les peaux sensibles ou délicates. Aide à améliorer le confort cutané des peaux sujettes aux tiraillements. Idéal pour les soins du visage et du contour des yeux. Apporte un toucher soyeux et léger aux formulations. Convient aux soins apaisants et aux produits après-soleil. Caractéristiques techniques INCI : Helianthus annuus (sunflower) seed oil (and) Centaurea cyanus flower extract (and) Tocopherol CAS : 8001-21-6 / 84696-79-1 / 59-02-9 Origine : Végétale (fleurs de bleuet séchées macérées dans l’huile de tournesol, enrichie en vitamine E) Procédé d’obtention : macération traditionnelle Aspect : liquide huileux clair Couleur : jaune pâle à doré clair Odeur : douce, végétale et légère Solubilité : insoluble dans l’eau, soluble dans les huiles Dosage recommandé : 5 % à 100 % selon la formulation (peut s’utiliser pur) Conservation : à l’abri de la lumière, de l’air et de la chaleur, dans un contenant hermétique Qualité : 100 % naturelle, sans OGM, biodégradable, non testée sur les animaux Provenance : Canada Conseils d’utilisation S’utilise pure ou intégrée dans vos préparations cosmétiques. Recommandée pour les huiles visage, les sérums huileux, les crèmes douces, les baumes apaisants et les soins spécifiques pour le contour des yeux ou les peaux sensibles. Mise en garde et conformité réglementaire Usage externe uniquement – ne pas ingérer. Éviter le contact direct avec les yeux. À utiliser selon les bonnes pratiques de formulation cosmétique. Tenir hors de portée des enfants . La couleur, l’odeur ou la texture peuvent varier légèrement selon les lots, sans altérer la qualité. Avant toute commercialisation, assurez-vous de respecter la réglementation en vigueur et de déposer la déclaration obligatoire des cosmétiques auprès de Santé Canada. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à faire des tests en petite quantité dans tes formules. Pure Arôme Laboratoire ne peut être tenu responsable des usages finaux, mais reste à tes côtés pour t’accompagner 💛. ",Propre,2026-03-27
Huile infusée de Calendula,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-infusee-de-calendula,Helianthus annuus (sunflower) seed oil (and) Calendula officinalis flower extract (and) Tocopherol,,"Huile infusée de calendula – Apaisante et réparatrice | Pure Arôme  Accueil Produits Huile infusée de Calendula Huile infusée de Calendula Sku: HFCADULA En rupture ! De retour bientôt Huile infusée de Calendula Sku: HFCADULA En rupture ! De retour bientôt 13,75 $ CAD Produit non disponible à l'achat en ligne Partager Huile infusée de calendula – Pure Arôme Laboratoire L’huile infusée de calendula (Calendula officinalis) est obtenue par macération douce des pétales de fleurs de calendula dans une huile de tournesol de haute qualité, enrichie en vitamine E naturelle. Ce procédé permet d’extraire les principes actifs apaisants et réparateurs de la fleur, tout en bénéficiant des propriétés nourrissantes et protectrices de l’huile de tournesol et de la vitamine E. Résultat : une huile cosmétique stable, riche et protectrice, idéale pour les soins cutanés sensibles et les formulations réparatrices. Bienfaits et utilisations Calme les irritations, rougeurs et inconforts cutanés. Favorise la régénération naturelle et restaure l’élasticité de la peau. Protège la peau du stress oxydatif grâce à la vitamine E. Nourrit et adoucit grâce à l’huile de tournesol, riche en acides gras essentiels. Idéale dans les baumes réparateurs, huiles de massage, soins après-soleil et préparations pour bébés. Caractéristiques techniques INCI : Helianthus annuus (sunflower) seed oil (and) Calendula officinalis flower extract (and) Tocopherol CAS : 8001-21-6 / 84776-23-8 / 59-02-9 Origine : Végétale (pétales de calendula macérés dans l'huile de tournesol, enrichie en vitamine E) Procédé d’obtention : macération traditionnelle Aspect : liquide huileux jaune doré Odeur : douce, herbacée et florale Solubilité : insoluble dans l’eau, soluble dans les huiles Dosage recommandé : 1 % à 100 % selon la formulation Conservation : à l’abri de la lumière, de l’air et de la chaleur, dans un contenant hermétique Qualité : 100 % naturelle, sans OGM, biodégradable, non testée sur les animaux Provenance : Canada Conseils d’utilisation S’utilise pure sur la peau comme huile apaisante ou intégrée dans vos cosmétiques maison. Idéale pour les baumes réparateurs, huiles de massage, crèmes hydratantes ou soins après-soleil. Compatible avec toutes les phases huileuses en formulation cosmétique. Mise en garde et conformité réglementaire Usage externe uniquement – ne pas ingérer. Éviter le contact direct avec les yeux. À utiliser selon les bonnes pratiques de formulation cosmétique. Tenir hors de portée des enfants . La couleur, l’odeur ou la texture peuvent varier légèrement selon les lots, sans altérer la qualité. Avant toute commercialisation, assurez-vous de respecter la réglementation en vigueur et de déposer la déclaration obligatoire des cosmétiques auprès de Santé Canada. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à faire des tests en petite quantité dans tes formules. Pure Arôme Laboratoire ne peut être tenu responsable des usages finaux, mais reste à tes côtés pour t'accompagner 💛. Document : FDS Huile infusée de Calendula.pdf ",Propre,2026-03-27
Huile infusée de Camélia,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-infusee-de-camelia,Helianthus annuus (sunflower) seed oil (and) Camellia sinensis leaf extract (and) Tocopherol,,"Huile infusée de camélia – Anti-âge et protectrice | Pure Arôme  Accueil Produits Huile infusée de Camélia Huile infusée de Camélia Sku: HFCAMEL En rupture ! De retour bientôt Huile infusée de Camélia Sku: HFCAMEL En rupture ! De retour bientôt 11,75 $ CAD Produit non disponible à l'achat en ligne Partager Huile infusée de camélia (thé vert) – Pure Arôme Laboratoire L’huile infusée de camélia (Camellia sinensis) est obtenue par macération douce des feuilles de thé vert dans une huile de tournesol de qualité, enrichie en vitamine E naturelle. Cet extrait huileux concentre les puissants polyphénols antioxydants du thé vert, réputés pour protéger la peau du stress oxydatif et prévenir le vieillissement prématuré. Inspirée des rituels de beauté asiatiques, cette huile moderne et raffinée est un ingrédient de choix pour les soins anti-âge et protecteurs de la peau et des cheveux. Bienfaits et utilisations Protège la peau grâce à sa richesse en polyphénols et vitamine E. Action anti-âge : aide à prévenir rides et perte de fermeté. Hydrate, nourrit et améliore l’élasticité cutanée. Réduit l’impact du stress oxydatif et des agressions extérieures. Apporte éclat et vitalité aux cheveux ternes ou fatigués. Caractéristiques techniques INCI : Helianthus annuus (sunflower) seed oil (and) Camellia sinensis leaf extract (and) Tocopherol CAS : 8001-21-6 / 84650-60-2 / 59-02-9 Origine : Végétale (feuilles de thé vert macérées dans l'huile de tournesol, enrichie en vitamine E) Procédé d’obtention : macération traditionnelle Aspect : liquide huileux jaune doré à vert clair Odeur : douce, légèrement herbacée Solubilité : insoluble dans l’eau, soluble dans les huiles Dosage recommandé : 1 % à 100 % selon la formulation Conservation : dans un contenant hermétique, à l’abri de la lumière, de l’air et de la chaleur Qualité : 100 % naturelle, sans OGM, biodégradable, non testée sur les animaux Provenance : Canada Conseils d’utilisation S’utilise pure comme huile visage anti-âge, en sérum protecteur ou intégrée dans vos formulations maison. Parfaite pour crèmes anti-rides, laits corporels, baumes réparateurs et soins capillaires fortifiants. Compatible avec toutes les phases huileuses en formulation cosmétique. Mise en garde et conformité réglementaire Usage externe uniquement – ne pas ingérer. Éviter le contact direct avec les yeux. À utiliser selon les bonnes pratiques de formulation cosmétique. Tenir hors de portée des enfants . La couleur, l’odeur ou la texture peuvent varier légèrement selon les lots, sans altérer la qualité. Avant toute commercialisation, assurez-vous de respecter la réglementation en vigueur et de déposer la déclaration obligatoire des cosmétiques auprès de Santé Canada. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à faire des tests en petite quantité dans tes formules. Pure Arôme Laboratoire ne peut être tenu responsable des usages finaux, mais reste à tes côtés pour t'accompagner 💛. Document : FDS Huile infusée de Camélia.pdf ",Propre,2026-03-27
Huile infusée de Camomille,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-infusee-de-camomille,Helianthus annuus (sunflower) seed oil (and) Matricaria chamomilla flower extract (and) Tocopherol,,"Huile infusée de camomille – Apaisante et réparatrice | Pure Arôme  Accueil Produits Huile infusée de Camomille Huile infusée de Camomille Sku: HFCAMO En stock Huile infusée de Camomille Sku: HFCAMO En stock 20,95 $ CAD Produit non disponible à l'achat en ligne Partager Huile infusée de camomille – Pure Arôme Laboratoire L’huile infusée de camomille ( Matricaria chamomilla ) est obtenue par macération douce de fleurs séchées de camomille dans une huile de tournesol de haute qualité, enrichie en vitamine E naturelle. Cette infusion végétale apaise les irritations, calme les rougeurs et adoucit les peaux sensibles. Grâce à ses propriétés anti-inflammatoires et apaisantes, elle est idéale pour les soins du visage, les produits pour bébés ou les formulations réparatrices après-soleil. Bienfaits et utilisations Calme les irritations, démangeaisons et rougeurs cutanées. Adoucit et protège les peaux sensibles ou réactives. Favorise la régénération naturelle de la peau. Apporte brillance et souplesse aux cheveux clairs. Idéale dans les soins apaisants, crèmes visage, huiles de massage et produits pour bébés. Caractéristiques techniques INCI : Helianthus annuus (sunflower) seed oil (and) Matricaria chamomilla flower extract (and) Tocopherol CAS : 8001-21-6 / 84082-60-0 / 59-02-9 Origine : Végétale (fleurs de camomille séchées macérées dans l’huile de tournesol, enrichie en vitamine E) Procédé d’obtention : macération traditionnelle Aspect : liquide huileux jaune clair à doré Odeur : douce, florale et légèrement miellée Solubilité : insoluble dans l’eau, soluble dans les huiles Dosage recommandé : 1 % à 100 % selon la formulation Conservation : à l’abri de la lumière, de l’air et de la chaleur, dans un contenant hermétique Qualité : 100 % naturelle, sans OGM, biodégradable, non testée sur les animaux Provenance : Canada Conseils d’utilisation S’utilise pure sur la peau ou intégrée dans vos préparations cosmétiques. Recommandées pour les soins apaisants, les huiles de massage, les crèmes réparatrices et les produits pour peaux sensibles ou après exposition au soleil. Mise en garde et conformité réglementaire Usage externe uniquement – ne pas ingérer. Éviter le contact direct avec les yeux. À utiliser selon les bonnes pratiques de formulation cosmétique. Tenir hors de portée des enfants . La couleur, l’odeur ou la texture peuvent varier légèrement selon les lots, sans altérer la qualité. Avant toute commercialisation, assurez-vous de respecter la réglementation en vigueur et de déposer la déclaration obligatoire des cosmétiques auprès de Santé Canada. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à faire des tests en petite quantité dans tes formules. Pure Arôme Laboratoire ne peut être tenu responsable des usages finaux, mais reste à tes côtés pour t’accompagner 💛. ",Propre,2026-03-27
Huile infusée de Carotte,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-infusee-de-carotte,Helianthus annuus (sunflower) seed oil (and) Daucus carota extract (and) Tocopherol,,"Huile infusée de carotte – Éclat et vitalité de la peau | Pure Arôme  Accueil Produits Huile infusée de Carotte Huile infusée de Carotte Sku: HFCAROT En stock Huile infusée de Carotte Sku: HFCAROT En stock 22,95 $ CAD Produit non disponible à l'achat en ligne Partager Huile infusée de carotte – Pure Arôme Laboratoire L’huile infusée de carotte ( Daucus carota ) est obtenue par macération douce de carottes dans une huile de tournesol de haute qualité, enrichie en vitamine E naturelle. Ce procédé artisanal permet d’extraire les pigments et nutriments précieux de la carotte, notamment le bêta-carotène et les vitamines A et E, reconnues pour leur effet bonne mine et leur action antioxydante. Résultat : une huile nourrissante et illuminatrice, idéale pour redonner éclat et vitalité à la peau. Bienfaits et utilisations Donne un effet bonne mine naturel et uniforme au teint. Protège la peau contre le stress oxydatif et le vieillissement prématuré. Favorise le renouvellement cellulaire et améliore la souplesse cutanée. Prévient la déshydratation grâce à sa base d’huile de tournesol riche en acides gras essentiels. Idéale dans les soins visage, huiles après-soleil, baumes nourrissants et produits illuminateurs. Caractéristiques techniques INCI : Helianthus annuus (sunflower) seed oil (and) Daucus carota extract (and) Tocopherol CAS : 8001-21-6 / 84929-61-3 / 59-02-9 Origine : Végétale (carottes macérées dans l’huile de tournesol, enrichie en vitamine E) Procédé d’obtention : macération traditionnelle Aspect : liquide huileux orangé doré Odeur : douce, légèrement sucrée et végétale Solubilité : insoluble dans l’eau, soluble dans les huiles Dosage recommandé : 1 % à 100 % selon la formulation Conservation : à l’abri de la lumière, de l’air et de la chaleur, dans un contenant hermétique Qualité : 100 % naturelle, sans OGM, biodégradable, non testée sur les animaux Provenance : Canada Conseils d’utilisation S’utilise pure comme huile de soin, illuminatrice ou intégrée dans vos préparations cosmétiques. Excellente dans les sérums, crèmes visage, soins après-soleil ou baumes réparateurs. Compatible avec toutes les phases huileuses en formulation cosmétique. Mise en garde et conformité réglementaire Usage externe uniquement – ne pas ingérer. Éviter le contact direct avec les yeux. À utiliser selon les bonnes pratiques de formulation cosmétique. Tenir hors de portée des enfants. La couleur, l’odeur ou la texture peuvent varier légèrement selon les lots, sans altérer la qualité. Avant toute commercialisation, assurez-vous de respecter la réglementation en vigueur et de déposer la déclaration obligatoire des cosmétiques auprès de Santé Canada. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à faire des tests en petite quantité dans tes formules. Pure Arôme Laboratoire ne peut être tenu responsable des usages finaux, mais reste à tes côtés pour t’accompagner 💛. ",Propre,2026-03-27
Huile infusée de Lavande,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-infusee-de-lavande,Helianthus annuus (sunflower) seed oil (and) Lavandula angustifolia (lavender) flower extract (and) Tocopherol,,"Huile infusée de lavande – Relaxante et apaisante | Pure Arôme  Accueil Produits Huile infusée de Lavande Huile infusée de Lavande Sku: HFLAVAN En stock Huile infusée de Lavande Sku: HFLAVAN En stock 13,75 $ CAD Produit non disponible à l'achat en ligne Partager Huile infusée de lavande – Pure Arôme Laboratoire L’huile infusée de lavande (Lavandula angustifolia) est obtenue par macération des fleurs de lavande dans une huile végétale de tournesol enrichie en vitamine E naturelle. Ce procédé permet d’extraire les composés apaisants et relaxants de la lavande tout en bénéficiant des propriétés nourrissantes et protectrices de l’huile support. Polyvalente, douce et réconfortante, cette huile est un ingrédient de choix pour les soins relaxants, les massages et les formulations apaisantes pour la peau. Bienfaits et utilisations Apporte un effet calmant et relaxant grâce aux propriétés naturelles de la lavande. Adoucit et nourrit la peau tout en soutenant sa régénération. Protège contre le stress oxydatif grâce à la vitamine E. Idéale pour les huiles de massage, crèmes apaisantes, soins après-soleil et baumes réparateurs. Convient aux peaux sensibles et aux soins relaxants pour le corps et l’esprit. Caractéristiques techniques INCI : Helianthus annuus (sunflower) seed oil (and) Lavandula angustifolia (lavender) flower extract (and) Tocopherol CAS : 8001-21-6 / 90063-37-9 / 59-02-9 Origine : Végétale (fleurs de lavande macérées dans l'huile de tournesol, enrichie en vitamine E) Procédé d’obtention : macération traditionnelle Aspect : liquide huileux jaune clair à doré Odeur : douce, florale, caractéristique de la lavande Solubilité : insoluble dans l’eau, soluble dans les huiles Dosage recommandé : 1 % à 100 % selon la formulation Conservation : à l’abri de la lumière, de la chaleur et de l’air, dans un contenant hermétique Qualité : 100 % naturelle, sans OGM, biodégradable, non testée sur les animaux Provenance : Canada Conseils d’utilisation S’utilise pure sur la peau ou intégrée dans vos cosmétiques maison. Idéale pour huiles de massage relaxantes, soins apaisants après-soleil, crèmes hydratantes ou baumes réparateurs. Compatible avec toutes les phases huileuses en formulation cosmétique. Mise en garde et conformité réglementaire Usage externe uniquement – ne pas ingérer. Éviter le contact direct avec les yeux. À utiliser selon les bonnes pratiques de formulation cosmétique. Tenir hors de portée des enfants . La couleur, l’odeur ou la texture peuvent varier légèrement selon les lots, sans altérer la qualité. Avant toute commercialisation, assurez-vous de respecter la réglementation en vigueur et de déposer la déclaration obligatoire des cosmétiques auprès de Santé Canada. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à faire des tests en petite quantité dans tes formules. Pure Arôme Laboratoire ne peut être tenu responsable des usages finaux, mais reste à tes côtés pour t'accompagner 💛. Document : FDS Huile infusée de Lavande.pdf ",Propre,2026-03-27
Huile infusée de Rose,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-infusee-de-rose,Helianthus annuus (sunflower) seed oil (and) Rosa damascena flower extract (and) Tocopherol,,"Huile infusée de rose – Éclat, douceur et jeunesse | Pure Arôme  Accueil Produits Huile infusée de Rose Huile infusée de Rose Sku: HFROSE En stock Huile infusée de Rose Sku: HFROSE En stock 20,95 $ CAD Produit non disponible à l'achat en ligne Partager Huile infusée de pétales de rose – Pure Arôme Laboratoire L’huile infusée de pétales de rose ( Rosa damascena ) est obtenue par macération douce de pétales de roses séchés dans une huile de tournesol de haute qualité, enrichie en vitamine E naturelle. Ce procédé délicat permet d’extraire les principes actifs adoucissants et régénérants des pétales, tout en profitant des propriétés nourrissantes et protectrices de l’huile de tournesol. Le résultat : une huile florale au parfum subtil, idéale pour les soins visage, les produits apaisants et les formules anti-âge. Bienfaits et utilisations Adoucit et assouplit la peau tout en restaurant sa souplesse naturelle. Apporte un éclat lumineux et un toucher velouté au teint. Protège contre la déshydratation et le vieillissement cutané. Favorise la régénération et apaise les peaux délicates ou matures. Idéale dans les sérums visage, huiles corporelles, crèmes hydratantes et soins après-soleil. Caractéristiques techniques INCI : Helianthus annuus (sunflower) seed oil (and) Rosa damascena flower extract (and) Tocopherol CAS : 8001-21-6 / 90106-38-0 / 59-02-9 Origine : Végétale (pétales de rose macérés dans l’huile de tournesol, enrichie en vitamine E) Procédé d’obtention : macération traditionnelle Aspect : liquide huileux jaune doré à parfois reflets rosés Odeur : douce, florale et légèrement poudrée Solubilité : insoluble dans l’eau, soluble dans les huiles Dosage recommandé : 1 % à 100 % selon la formulation Conservation : à l’abri de la lumière, de l’air et de la chaleur, dans un contenant hermétique Qualité : 100 % naturelle, sans OGM, biodégradable, non testée sur les animaux Provenance : Canada Conseils d’utilisation S’utilise pure sur la peau pour un effet adoucissant et réparateur, ou intégrée dans vos formulations cosmétiques maison. Parfaite dans les soins du visage, huiles de massage, baumes régénérants ou produits anti-âge. Compatible avec toutes les phases huileuses. Mise en garde et conformité réglementaire Usage externe uniquement – ne pas ingérer. Éviter le contact direct avec les yeux. À utiliser selon les bonnes pratiques de formulation cosmétique. Tenir hors de portée des enfants. La couleur, l’odeur ou la texture peuvent varier légèrement selon les lots, sans altérer la qualité. Avant toute commercialisation, assurez-vous de respecter la réglementation en vigueur et de déposer la déclaration obligatoire des cosmétiques auprès de Santé Canada. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à faire des tests en petite quantité dans tes formules. Pure Arôme Laboratoire ne peut être tenu responsable des usages finaux, mais reste à tes côtés pour t’accompagner 💛. ",Propre,2026-03-27
Huile végétale Abricot,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-vegetale-abricot,Prunus armeniaca (apricot) kernel oil,,"Huile de noyau d’abricot pressée à froid | Pure Arôme  Accueil Produits Huile végétale Abricot Huile végétale Abricot Sku: HVABRIC En stock Huile végétale Abricot Sku: HVABRIC En stock 10,95 $ CAD Produit non disponible à l'achat en ligne Partager Huile végétale de noyau d’abricot – Émollient léger et nourrissant Découvrez l’huile végétale de noyau d’abricot (Prunus armeniaca kernel oil), un ingrédient cosmétique haut de gamme obtenu par pression à froid des amandes de noyaux d’abricot, riche en acides gras essentiels et en vitamine E. Sa texture fine et non grasse pénètre rapidement pour nourrir, assouplir et protéger la peau sans laisser de film occlusif. Pourquoi choisir l’huile de noyau d’abricot ? Riche en oméga-9 (acide oléique) et oméga-6 (acide linoléique) pour renforcer la barrière cutanée et maintenir l’hydratation. Bonne teneur en vitamine E (tocophérols), pour protéger la peau contre le stress oxydatif. Texture légère et pénétration rapide : idéale pour tous types de peau, même sensibles. Adoucit, apaise et redonne de l’éclat au teint. Convient aux soins pour le visage, le corps et les cheveux. Différences avec d’autres huiles végétales Plus légère que l’huile d’amande douce : pénètre plus vite sans effet gras. Plus riche en vitamine E que l’huile de pépins de raisin. Texture plus fluide que l’huile d’argan. Utilisations recommandées Sérums et huiles de soin visage nourrissantes Huiles de massage et soins corporels régénérants Soins après-soleil apaisants Sérums et masques capillaires pour apporter brillance et souplesse Base pour huiles essentielles et parfums Mode d’emploi À incorporer dans la phase huileuse de vos formules, à froid ou &lt; 40 °C. Dosage conseillé : 5 % à 20 % selon l’effet recherché. Convient aux produits rincés ou leave-on. Test cutané préalable recommandé pour les peaux très sensibles. Caractéristiques techniques INCI : Prunus armeniaca (apricot) kernel oil Numéro CAS : 72869-69-3 Origine : Pression à froid des noyaux d’abricot, qualité cosmétique ≥ 98 % État physique : Liquide huileux, couleur jaune pâle à doré Odeur : Légère, caractéristique de l’abricot Solubilité : Insoluble dans l’eau, soluble dans les huiles Densité : 0,91–0,92 g/cm³ à 20 °C Viscosité : 30–50 mPa·s à 20 °C Point éclair : &gt; 200 °C (coupelle ouverte) pH : Non applicable Avertissement – Variations naturelles Étant un produit végétal, la couleur, la texture ou l’aspect peuvent légèrement varier d’un lot à l’autre ; ces différences sont normales et n’altèrent en rien la qualité, l’efficacité ni les propriétés cosmétiques du produit. Mise en garde et conformité Usage externe uniquement. Ne pas utiliser pur sur la peau ou les muqueuses. Intégrer dans une formulation cosmétique bien équilibrée. Manipuler avec des gants et des lunettes de protection dans un environnement bien ventilé. Tenir hors de portée des enfants. Conserver dans un endroit sec, frais (15–25 °C), à l’abri de la lumière et de l’humidité. Pure Arôme Laboratoire ne peut être tenu responsable des incidents, accidents ou réactions liés à l’utilisation ou au produit fini créé par le client. Document : FDS Huile végétale de noyau d’abricot fr.pdf ",Propre,2026-03-27
Huile végétale Amande douce,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-vegetale-amande-douce,Prunus amygdalus,,"Huile végétale Amande douce Accueil Produits Huile végétale Amande douce Huile végétale Amande douce Sku: HVAMAD En stock Huile végétale Amande douce Sku: HVAMAD En stock 9,50 $ CAD Produit non disponible à l'achat en ligne Partager Huile végétale Amande douce Inci : Prunus amygdalus Procédé d’extraction : Pression à froid - Partie Extraite : Amande issue des fruits - Provenance : Italie L'huile d'Amande douce Pure arôme, connue depuis longtemps, est largement utilisée pour son action apaisante et adoucissante sur les peaux délicates et sèches. Elle s'utilise pour préparer des soins nourrissants pour tous types de peaux, en particulier les peaux tiraillées et inconfortables. Apparence : Veuillez noter que le produit peut parfois arriver sous une forme ou une couleur différente de celle illustrée sur la photo. Cela est hors de notre contrôle car nous travaillons avec des produits végétaux, mais nous tenons à vous assurer que le produit conserve la même efficacité et valeur. ""Nous sommes engagés dans la protection de l'environnement et le respect des normes éthiques dans l'industrie cosmétique. C'est pourquoi tous nos produits de matières premières cosmétiques sont sans cruauté et n'ont pas été testés sur les animaux. Nous sommes fiers de proposer une gamme de produits respectueuse de la santé de l'environnement et éco-responsable."" - À usage externe uniquement. ",Propre,2026-03-27
Huile végétale Argan,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-vegetale-argan,Argania spinosa,,"Huile Végétale Argan Accueil Produits Huile végétale Argan Huile végétale Argan Sku: HVARG En stock Huile végétale Argan Sku: HVARG En stock 20,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile Végétale D'Argan Inci : Argania spinosa Procédé d’extraction : Pression à froid - Partie Extraite : Fruit de l'Arganier (arganon) - Provenance : Maroc Cette huile originaire du Maroc, riche en vitamine E et en insaponifiables, est réputée pour ses propriétés nourrissantes, régénérantes et restructurantes. Sa teneur en antioxydants en fait un actif idéal pour lutter contre les signes du vieillissement cutané, et ses acides gras redonnent souplesse et douceur aux peaux sèches et dénutries. PROPRIÉTÉS Tonifiante et assouplissante : elle redonne élasticité et souplesse à la peau. Riche en antioxydants : elle neutralise les radicaux libres et lutte contre les signes du vieillissement cutané. Extrêmement nourrissante et réparatrice, elle aide à régénérer le film hydrolipidique cutané Protectrice cutanée, elle limite les effets des agressions extérieures (froid, vent...). INDICATIONS Peaux sèches Peaux matures manquant de tonus Peaux dévitalisées Peaux à imperfections UTILISATIONS S'utilise en tant qu'ingrédient dans vos préparations : Huiles de massage jeunesse pour le corps Crèmes de jour protectrices et nourrissantes Crèmes de nuit régénérantes et anti-âge Crèmes protectrices pour les mains Soins orientaux Apparence : Veuillez noter que le produit peut parfois arriver sous une forme ou une couleur différente de celle illustrée sur la photo. Cela est hors de notre contrôle car nous travaillons avec des produits végétaux, mais nous tenons à vous assurer que le produit conserve la même efficacité et valeur. ""Nous sommes engagés dans la protection de l'environnement et le respect des normes éthiques dans l'industrie cosmétique. C'est pourquoi tous nos produits de matières premières cosmétiques sont sans cruauté et n'ont pas été testés sur les animaux. Nous sommes fiers de proposer une gamme de produits respectueuse de la santé de l'environnement et éco-responsable."" - À usage externe uniquement. ",Propre,2026-03-27
Huile végétale Avocat,Huiles et Beurres,https://www.purearome.com/fr/produit/huile-vegetale-avocat,Persea americana oil,,"Huile Végétale Avocat Accueil Produits Huile végétale Avocat Huile végétale Avocat Sku: HVAVOC En stock Huile végétale Avocat Sku: HVAVOC En stock 9,95 $ CAD Produit non disponible à l'achat en ligne Partager Huile Végétale Avocat Raffiné Inci : Persea americana oil Procédé d’extraction : Après mélange de la pulpe d'avocat à de l'eau tiède, la pâte obtenue est malaxée puis centrifugée afin de récupérer l'huile vierge séparément de l'eau. - Partie Extraite : Pulpe du fruit - Provenance : Kenya Obtenue à partir de la pulpe d'avocat, cette huile est un excellent actif anti-âge, nourrissant, protecteur et restructurant. Elle fait merveille pour composer des soins pour peaux sèches ou matures mais aussi des soins capillaires. PROPRIÉTÉS Assouplissante, protectrice et très douce, elle redonne élasticité et confort à la peau et prend soin des peaux délicates Régénérante et restructurante, elle lutte contre les signes du vieillissement cutané Elle nourrit la peau et la protège contre les agressions (froid, vent...) Réparatrice et calmante, elle fait des merveilles sur les peaux sujettes à inconfort et elle permet de lutter contre les vergetures Elle apporte douceur et onctuosité aux savons. INDICATIONS Peaux sèches, dévitalisées, desquamées, distendues Peaux délicates (cou, contour des yeux) Peaux matures Aide à lutter contre les vergetures UTILISATIONS S'utilise en tant qu'ingrédient dans vos préparations : Soins protecteurs pour peaux sensibles et fines (visage, cou, contour des yeux...) Préparations anti-rides pour peaux sèches et matures Crèmes réparatrice pour les mains sèches Soins préventifs et curatifs vergetures Confection de savons doux Apparence : Veuillez noter que le produit peut parfois arriver sous une forme ou une couleur différente de celle illustrée sur la photo. Cela est hors de notre contrôle car nous travaillons avec des produits végétaux, mais nous tenons à vous assurer que le produit conserve la même efficacité et valeur. ""Nous sommes engagés dans la protection de l'environnement et le respect des normes éthiques dans l'industrie cosmétique. C'est pourquoi tous nos produits de matières premières cosmétiques sont sans cruauté et n'ont pas été testés sur les animaux. Nous sommes fiers de proposer une gamme de produits respectueuse de la santé de l'environnement et éco-responsable."" - À usage externe uniquement. ",Propre,2026-03-27
